Product,Price,Ounces,Source,Price per ounce,Categories,First unique?
Jelly Belly Sours,4.99,9.8,Food City,0.509183673,1,
Arm & Hammer Pure Baking Soda Shaker 12 Oz (Pack of 3),18.82,36,Walmart,0.522777778,7,10
"Great Value Kosher Ground Cinnamon, 2.5 oz",1.32,2.5,Walmart,0.528,5,1
"OREO Double Stuf Chocolate Sandwich Cookies, 14.03 oz (Pack of 6)",45.65,84,Walmart,0.543452381,16,12
Bob's Red Mill Classic Yellow Cake Mix,4.49,8.1,Kroger,0.554320988,6,11
Jelly Belly Sizzling Cinnamon Jelly Beans,2,3.5,Food City,0.571428571,1,
Domino Premium Pure Cane Granulated Sugar,5.99,10,Kroger,0.599,11,10
Kroger® Ground Cinnamon Shaker,3.99,6.5,Kroger,0.613846154,5,2
Rodelle Vanilla Paste,9.99,16,Kroger,0.624375,7,11
Smart Way™ Ground Cinnamon,1.25,1.953125,Kroger,0.64,5,3
Club® Sweet Hawaiian Snack Crackers,3.99,6,Kroger,0.665,20,11
Terra Delyssa® Organic First Cold Press Smooth Flavor Extra Virgin Olive Oil,10.49,15.65671642,Kroger,0.67,3,12
Welch's Natural Strawberry Spread - 19.8oz,13.98,19.8,Walmart,0.706060606,17,11
Imperial Pure Granulated Cane Sugar,2.99,4,Kroger,0.7475,11,11
Concord Foods Smoothie Banana,1.5,2,Food City,0.75,0,
Private Selection® Ground Cinnamon Shaker,3.49,4.532467532,Kroger,0.77,5,4
Rodelle Pure Vanilla Extract,22.99,24.98913043,Kroger,0.92,1,4
Fresh Chocolate Dipped Strawberries,14.99,16,Food City,0.936875,2,
"Great Value Ground Cinnamon, 4.2 oz",4.22,4.2,Walmart,1.004761905,5,5
McCormick Pure Vanilla Extract,8.99,8,Kroger,1.12375,1,5
"McCormick Kosher Ground Cinnamon, 2.37 oz Bottle",2.77,2.37,Walmart,1.168776371,5,6
Silk Cultured Soy Peach And Mango Yogurt Alternative 5.3oz (PACK OF 8),50.25,42.4,Walmart,1.185141509,9,11
Silk Cultured Soy Vanilla Dairy Free Yogurt Alternative 5.3oz (PACK OF 8),50.71,42.4,Walmart,1.195990566,9,12
Kroger® Pure Cane Granulated Sugar,4.79,4,Kroger,1.1975,11,12
ARM & HAMMER™ Baking Soda Box,2.49,2,Kroger,1.245,7,12
Kroger® Powered Sugar,2.59,2,Kroger,1.295,2,10
Kroger® Light Brown Sugar,2.59,2,Kroger,1.295,4,11
ARM & HAMMER Fridge-N-Freezer Baking Soda Odor Absorber,1.49,1,Kroger,1.49,7,13
Simple Truth Organic® Powdered Sugar,3,2,Kroger,1.5,2,11
Simple Truth Organic® Light Brown Sugar,3,2,Kroger,1.5,2,12
"Club Crackers Original - 40 Twin Packs, 0.25oz",15.05,10,Walmart,1.505,20,12
Kroger® Imitation Vanilla Flavor,3.69,2,Kroger,1.845,1,6
Domino Premium Pure Cane Dark Brown Sugar Zipper-Pack,3.99,2,Kroger,1.995,4,12
Plum Organics Beet + Strawberry,3.79,1.85,Food City,2.048648649,2,
